행정구역,2012년03월_거주자 인구수,2012년03월_세대수,2012년03월_세대당 인구,2012년03월_남자 인구수,2012년03월_여자 인구수,2012년03월_남여 비율
충청남도 천안시 (4413000000),"571,801","226,659",2.52,"289,660","282,141",1.03
충청남도 천안시 동남구 (4413100000),"252,893","101,211",2.5,"127,794","125,099",1.02
충청남도 천안시 동남구 목천읍(4413125000),"26,583","10,533",2.52,"13,513","13,070",1.03
충청남도 천안시 동남구 풍세면(4413131000),"4,776","2,048",2.33,"2,539","2,237",1.14
충청남도 천안시 동남구 광덕면(4413132000),"4,446","2,057",2.16,"2,252","2,194",1.03
충청남도 천안시 동남구 북면(4413133000),"4,989","2,270",2.2,"2,599","2,390",1.09
충청남도 천안시 동남구 성남면(4413134000),"3,805","1,718",2.21,"1,967","1,838",1.07
충청남도 천안시 동남구 수신면(4413135000),"2,511","1,187",2.12,"1,326","1,185",1.12
충청남도 천안시 동남구 병천면(4413136000),"6,525","3,022",2.16,"3,392","3,133",1.08
충청남도 천안시 동남구 동면(4413137000),"2,470","1,114",2.22,"1,267","1,203",1.05
충청남도 천안시 동남구 중앙동(4413151000),"6,011","3,057",1.97,"3,142","2,869",1.1
충청남도 천안시 동남구 문성동(4413152000),"5,102","2,674",1.91,"2,732","2,370",1.15
충청남도 천안시 동남구 원성1동(4413153000),"10,369","4,465",2.32,"5,422","4,947",1.1
충청남도 천안시 동남구 원성2동(4413154000),"12,900","5,504",2.34,"6,566","6,334",1.04
충청남도 천안시 동남구 봉명동(4413155000),"21,101","9,439",2.24,"10,655","10,446",1.02
충청남도 천안시 동남구 일봉동(4413156000),"23,560","8,334",2.83,"11,782","11,778",1
충청남도 천안시 동남구 신방동(4413157000),"40,234","14,140",2.85,"19,979","20,255",0.99
충청남도 천안시 동남구 청룡동(4413158000),44348 ,"15,199",2.92,"22,014","22,334",0.99
충청남도 천안시 동남구 신안동(4413159000),33163 ,"14,450",2.3,"16,647","16,516",1.01
충청남도 천안시 서북구 (4413300000),318908 ,"125,448",2.54,"161,866","157,042",1.03
충청남도 천안시 서북구 성환읍(4413325000),29497 ,"11,797",2.5,"15,238","14,259",1.07
충청남도 천안시 서북구 성거읍(4413325300),21113 ,"8,227",2.57,"10,996","10,117",1.09
충청남도 천안시 서북구 직산읍(4413325600),22500 ,"9,287",2.42,"12,049","10,451",1.15
충청남도 천안시 서북구 입장면(4413331000),10850 ,"4,618",2.35,"5,716","5,134",1.11
충청남도 천안시 서북구 성정1동(4413351000),18987 ,"8,800",2.16,"9,554","9,433",1.01
충청남도 천안시 서북구 성정2동(4413352000),23242 ,"12,083",1.92,"11,745","11,497",1.02
충청남도 천안시 서북구 쌍용1동(4413353000),16151 ,"5,863",2.75,"7,900","8,251",0.96
충청남도 천안시 서북구 쌍용2동(4413354000),42633 ,"14,270",2.99,"21,156","21,477",0.99
충청남도 천안시 서북구 쌍용3동(4413355000),22616 ,"8,252",2.74,"11,033","11,583",0.95
충청남도 천안시 서북구 백석동(4413356000),51520 ,"16,654",3.09,"25,822","25,698",1
충청남도 천안시 서북구 부성동(4413357000),59799 ,"25,597",2.34,"30,657","29,142",1.05
