"시도별(1)",시도별(2),2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02
"총계",소계,13,21,17,27,30,32,30,31,25,22,24,17,12,13,17,32,25,35,34,39,20,25,20,17,17,13,15,20,26,26,25,21,18,18,19,12,14,12,17,21,24,20,25
"서울",서울,13,19,15,22,32,32,30,34,26,23,24,16,10,14,15,28,24,38,35,45,21,29,20,19,16,12,15,20,28,29,28,25,21,19,21,13,14,11,17,24,27,21,29
"부산",부산,16,23,16,27,28,28,30,26,28,24,25,23,14,14,17,26,23,29,28,30,20,25,21,18,19,13,13,17,23,21,22,16,17,17,15,10,19,13,15,17,21,19,21
"대구",대구,12,21*,17*,29,29,30,28,26,24,21,22,18,12,12,17,31,26,33,33,33,19,23,20,16,16,13,14,21,29,26,26,20,18,20,20,14,16,15,18,23,24,21,24
"인천",인천,15,22,17,23,28,29,27,32,24,21,22,16,12,15,16,29,24,33,31,41,20,26,17,19,18,14,16,19,25,27,23,21,16,15,17,14*,14,10,15,21,24,20,28
"광주",광주,15,22,20,31,28,28,31,32,25,21,27,15,14,13,20,36,26,33,34,39,20,22,25,17,17,15,18,20,22,27,21,18,17,18,18,9,14,13,17,20,24,22,25
"대전",대전,11,18,15,24,25,30,28,27,23,19,19,14,11,11,17,34,27,34,36,39,16,22,18,14,15,12,15,21,25,25,23,20,17,16,19,9,10,12,18,20,20,18,21
"울산",울산,16,22,15,25,24,25,27,23,26,24,29,27,16,14,19,29,19,26,26,29,19,26,22,19,18,13,11,15,20,19,19,17,17,19,19,12,17,14,15,17,19,17,21
"세종",세종,12,20,17,24,21,28,26,26,23,21,22,15,10,13,14,29,31,41,41,47,19,25,20,14,16,12,17,26,32,31,28,23,18,14,16,9,11,10,20,25,28,25,27
"경기",수원,13,21,16,23,30,31,29,33,26,21,24,17,11,15,18,34,25,39,36,46,20,28,19,18,18,13,16,21,29,30,28,25,19,18,21,13,14,11,18,24,26,21,30
"경기",안양,8,18,19,31,39,38,36,42,31,27,28,14,12,14,19,34,27,40,36,46,19,26,17,17,14,11,14,21,33*,33,29,25,20,21,24,15,12,13,20,26,25,19,29
"경기",성남,15,23,18,28,34,35,31,35,25,21,23,17,11,15*,17,32,26,38,34,42,16,24,17,17,15,11,14,20,29,28,28,25,20,17,20,12,13,10,16,22,26,20,29
"경기",의정부,6**,13,14,27,37,35,33,36,25,22,19,10,8,9*,17,35,32,38,30,44,16,25,18,18,14,11,15,22,31,33,29,25,18,16,18,11,12,10,16,24,28,21,28
"경기",광명,15,26,22,29*,37,37,32,38,27,22,23,15,11,14,18,37,30,42,37,49,20,26,17,17,16,13,17,23,32,32,31,27,21,18,21,13,14,11,19,26,30,25,35
"경기",안산,14,22,18,26,32,38,34,35,25,21,22,15,9,13,17,33,26,38,35,42,18,25,16,16,17,13,16,20,27,31,27,22,16,15,17,11,11*,9*,16,23,27,22,31
"경기",평택,14,31,25,30,33,45,36,41,32*,32*,32,16,13,16,24,43,31,45,42,53,26,33,26,21,18,15,19,24,29,30,27,26,18,22,24,16,14,13,22,27,28,24,33
"경기",과천,13,21,17,26,30,32,33,36,26,21,21,16,10,14,15,30,26,39,36,44,16,23,14,14,13,9,13,18,27,27,27,24,19,15,18,11,12,9,16,22,26,20,29
"경기",구리,15,24,19,28,36,35,31,35,24,20,18,14*,15,12,19,33,28,42,38,44,20,26,17*,20,18,12,15,22,30,29,29,26,21,19,22,12,12,10,16,22,27,20,27
"경기",의왕,15,23,19,27,32,35,36,40,27,22,23,15,10,13,17,36,27,42,39,49,20,28,18,18,17,14,17,24,35,35,30,29,21,19,23,14,13,11,18,25,27,20,29
"경기",고양,11,21,18,30,36,37,34,37,27,25,23,12,13,11,20,34,27,38,34,46,21,30,19,21,16,11,15,21,27,27,24,22,19,20,22,16,15,12,17,23,24,19,27
"경기",광주,19**,22,22,40,50,46,37,41,27,21,23,17,11,15,20,39,34,50,45,51,22,28,16,13,12,9,14,22,34,31,33,29,23,18,22,12,13,10,19,28,33,26,33
"경기",군포,8,21,15,28,32,35,32,36,30,30,29,16,14,12,20,36,24,35,32,44,22,28,19,20,14*,14,19,21,28,27,26,25,21,22,24,15,13,13,18,23,24,19,29
"경기",시흥,15,28,22,31,35,37,33,42,32,29,30,14,14,14,23,43,30,43,41,54,30,37,23,20,17,17,22,26,35,36,30,24,20,22,24,17,15,14,22,29,29,23*,35
